dataset,minSupport,DSATminer-1s,PSATminer-1c,DSATminer-4s,PSATminer-4c,DSATminer-8s,PSATminer-8c,DSATminer-16s,PSATminer-16c,DSATminer-24s,PSATminer-24c,Send_time
France,5000,12.13,14.72,3.94,4.8,2.83,3.91,1.87,4.72,1.68,5.43,46.93
,4000,17.22,19.05,4.94,6.82,3.8,5.56,2.18,5.51,2.22,6.73,
,3000,24.32,26.92,6.86,8.83,4.47,6.75,2.82,6.28,2.87,8.13,
,2000,46.03,49.14,12.66,16.75,8.93,13.01,5.38,11.23,4.54,13.56,
,1000,168.43,176.31,46.04,63.03,28.46,45.95,19.51,37.34,18.36,39.67,
,500,725.65,771.1,200.98,270.71,128.69,204.61,82.48,156.38,84.23,154.12,
France_area2,25000,12.48,11.96,3.72,4.77,2.59,4.2,2.05,3.49,2.37,4.47,21.36
,20000,13.43,14.76,4.61,6.05,3.11,4.41,2.38,4.16,1.94,4.96,
,15000,17.73,21.32,5.89,7.71,3.7,6.09,3.25,5.28,2.6,5.45,
,10000,28.19,29.51,8.47,12.36,5.88,9.18,3.88,7.38,3.35,8.62,
,5000,62.08,65.72,18.29,25.27,11.23,18.79,6.27,14.98,5.38,14.48,
,1000,315.44,333.35,86.45,116.0,49.87,77.81,31.88,65.58,27.32,67.14,
France_area3,30000,10.31,11.13,3.24,4.48,2.04,3.5,1.55,3.1,1.24,3.57,27.23
,20000,16.17,17.58,5.03,5.93,2.8,4.76,1.86,4.33,2.02,4.34,
,10000,29.52,31.42,9.41,10.71,5.13,8.25,3.14,7.06,3.09,7.56,
,5000,66.93,71.56,19.85,26.04,11.31,18.05,7.37,14.94,6.66,14.85,
,1000,641.26,675.19,222.39,274.19,144.03,195.23,85.81,153.11,84.97,154.24,
,500,2652.63,2809.05,1079.89,1248.29,830.38,964.17,472.11,689.91,452.96,644.85,
France_area4,20000,13.09,14.3,3.89,4.9,2.73,4.03,1.81,3.75,1.72,4.47,31.11
,15000,19.19,21.31,5.67,6.91,3.83,5.21,2.32,4.73,2.19,5.47,
,10000,25.74,28.37,7.65,10.11,5.11,6.99,2.67,6.04,2.58,7.26,
,5000,51.02,57.91,14.13,19.15,8.76,13.37,5.44,10.47,5.39,11.74,
,1000,434.79,455.86,134.77,168.2,78.11,113.54,60.0,96.63,52.95,89.05,
,500,1641.89,1722.61,537.06,660.54,342.33,436.51,300.98,402.64,248.87,357.89,
France_area5,20000,12.2,14.04,3.51,5.4,2.34,3.79,1.79,3.68,1.56,4.78,34.83
,15000,16.48,18.19,4.73,7.23,3.4,5.26,1.98,4.64,2.06,5.75,
,10000,24.05,25.98,6.96,9.16,5.07,7.85,2.97,6.31,3.22,7.46,
,5000,49.27,55.79,14.51,18.47,9.54,15.16,5.77,11.4,4.38,12.22,
,1000,431.28,461.05,141.95,176.76,85.25,124.9,72.95,108.18,53.36,92.87,
,500,1583.47,1709.89,637.84,759.22,435.83,543.77,370.29,493.85,261.38,367.41,
HF,40,15.71,17.33,4.19,5.55,2.53,3.61,1.29,3.02,1.07,3.5,3.08
,30,19.07,20.99,5.17,6.71,3.06,4.27,1.66,3.83,1.38,3.92,
,20,26.11,28.68,7.08,8.83,3.78,5.75,2.34,4.81,1.76,5.09,
,10,52.1,56.88,14.11,17.04,7.87,11.05,4.4,8.28,3.4,8.62,
HF_area3,20,6.44,7.64,1.86,2.15,1.2,1.56,1.04,1.49,1.05,1.43,1.84
,15,10.34,12.08,3.09,3.42,1.97,2.46,1.74,2.3,1.79,2.51,
,10,18.99,21.3,5.75,6.77,3.66,4.23,3.32,4.15,3.21,4.2,
,5,33.51,38.48,11.15,13.19,5.99,7.7,5.76,7.18,5.68,7.51,
HF_area4,40,7.89,8.88,2.16,2.46,1.21,1.52,0.75,1.22,0.64,1.19,2.14
,30,12.15,13.7,3.2,3.61,1.76,2.23,0.98,1.73,0.75,1.67,
,20,23.68,26.14,6.28,7.0,3.43,4.43,2.17,2.9,1.61,3.04,
,10,86.81,94.32,22.7,25.43,12.63,15.28,6.92,10.66,5.65,10.36,
HF_area5,40,7.75,12.74,2.32,3.75,1.35,2.51,0.81,1.85,0.74,1.91,2.33
,30,11.11,17.38,3.28,5.3,1.98,3.21,1.13,2.54,1.02,2.62,
,20,20.24,28.67,5.67,8.78,3.26,5.67,1.72,3.81,1.6,3.99,
,10,64.3,90.3,17.96,26.08,9.89,16.74,5.94,11.44,4.97,10.99,
